csd_id,name,smiles1,smiles2,year,functionality,group
LUJDEA,"1,1'-Binaphthalene-2,2'-diol 5-nitro-1,10-phenanthroline",C1=CC=C2C(=C1)C=CC(=C2C3=C(C=CC4=CC=CC=C43)O)O,C1=CC2=CC(=C3C=CC=NC3=C2N=C1)[N+](=O)[O-],2009,h-bond,2
LUJSIT,bis(N-(4-Hydroxyphenyl)acetamide) naphthalene,CC(=O)NC1=CC=C(C=C1)O,C1=CC=C2C=CC=CC2=C1,2009,weak_bond,1
LUJSOZ,N-(4-Hydroxyphenyl)acetamide bis(phenazine),C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,CC(=O)NC1=CC=C(C=C1)O,2009,h-bond,2
LUJTAM,N-(4-hydroxyphenyl)acetamide ethanedioic acid,CC(=O)NC1=CC=C(C=C1)O,C(=O)(C(=O)O)O,2009,h-bond,2
LUKXUL,"Phthalic acid 1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C2=C(C(=O)N(C1=O)C)NC=N2,C1=CC=C(C(=C1)C(=O)O)C(=O)O,2009,h-bond,2
MAKKEQ,"2,3-bis((4-methylbenzoyl)oxy)succinic acid 3-(1-(dimethylamino)ethyl)phenyl ethyl(methyl)carbamate",CC1=CC=C(C=C1)C(=O)OC(C(C(=O)O)OC(=O)C2=CC=C(C=C2)C)C(=O)O,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C,2009,h-bond,2
MOKQUZ,"2,2'-(1,2-ethenediyl)dipyridine 2-phenylsuccinic acid",C1=CC=C(C=C1)[C@@H](CC(=O)O)C(=O)O,C1=CC=NC(=C1)/C=C/C2=CC=CC=N2,2009,h-bond,2
MOVTOH,Isonicotinamide bis(benzoic acid),C1=CN=CC=C1C(=O)N,C1=CC=C(C=C1)C(=O)O,2009,h-bond,2
MOXRUN,"4,4'-Bipyridine 4,4'-methylenebis(3-hydroxy-2-naphthoic acid)",C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,C1=CN=CC=C1C2=CC=NC=C2,2009,h-bond,2
MOXSAU,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)acetamide hemikis(hexanedioic acid)",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C(CCC(=O)O)CC(=O)O,2009,h-bond,2
MOXSEY,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)acetamide hexanamide",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,CCCCCC(=O)N,2009,h-bond,2
MOXSIC,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)acetamide propanamide",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,CCC(=O)N,2009,h-bond,2
MOXSOI,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)acetamide succinic acid",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C(CC(=O)O)C(=O)O,2009,h-bond,2
MOXTID,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)propanamide 2,4-hexadienoic acid",CCC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C/C=C/C=C/C(=O)O,2009,h-bond,2
MOXTOJ,"N-(4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-yl)acetamide hemikis(malonic acid)",CC(=O)NC1=NC2=C(C=CC=C2S1)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C(C(=O)O)C(=O)O,2009,h-bond,2
MOXTUP,"4-((6-(4-(Trifluoromethyl)phenyl)-4-pyrimidinyl)oxy)-1,3-benzothiazol-2-amine 2,4-hexadienoic acid",C1=CC(=C2C(=C1)SC(=N2)N)OC3=NC=NC(=C3)C4=CC=C(C=C4)C(F)(F)F,C/C=C/C=C/C(=O)O,2009,h-bond,2
