,smiles1,smiles2
66,CN1C=NC2=C1C(=O)NC(=O)N2C,OC(=O)c1cc(Cl)ccc1O
67,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,NC(N)=O
68,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,Oc1cccc2cccnc12
69,Fc1c(F)c(F)c(F)c(F)c1F,Cc1cc(C)cc(C)c1
70,C1Cc2ccc(CCCc3ccc(C1)cc3)cc2,N#CC(C#N)=C(C#N)C#N
71,O=[As](c1ccccc1)(c1ccccc1)c1ccccc1,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
72,Oc1cc(O)cc(O)c1,O=C1C=CC(=O)C=C1
73,Oc1cccc(Cl)n1,O=C1NC=CC=C1
74,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O,CCC1(CC)C(=O)NC(=O)NC1=O
75,Nc1ccc(cc1)S(=O)(=O)/N=C1/NC=CS1,Nc1ccc(cc1)S(N)(=O)=O
76,Nc1ccc(cc1)S(=O)(=O)/N=C1/NC=CS1,CN1C(=O)N(C)C2=C(NC=N2)C1=O
77,CN1C=Nc2c(N)ncnc12,CN1C=CC(=S)NC1=O
78,CC1=CNC(=O)NC1=O,O=C1C=CC(=O)C=C1
79,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,CN(C)c1ccc(cc1)c1ccc(cc1)N(C)C
80,c1ccc2cc3ccccc3cc2c1,N#Cc1cc(C#N)c(cc1C#N)C#N
81,O1N=C2C(=N1)C1=NON=C1C1=NON=C21,CCOP(=O)(OCC)OCC
82,O=C(c1ccccc1)c1ccccc1,N(c1ccccc1)c1ccccc1
83,CC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
84,CCC1(CC)C(=O)NC(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
85,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,NC(N)=O
86,OC1C(O)C(C(O)C(O)C1N(=O)=O)N(=O)=O,O=S1CCCC1
87,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,O=CC1=CSc2ccccc12
88,O/N=C/C1=CC=C(O1)N(=O)=O,NC(N)=O
89,OC(=O)C(O)=O,NC(N)=O
90,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,C1Cc2cccc3cccc1c23
91,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,C1Cc2cccc3cccc1c23
92,NC(=O)c1ccccc1,OC(=O)CCC(O)=O
93,N#Cc1cc(C#N)c(cc1C#N)C#N,CN(C)c1ccc(N)cc1
94,NC(=O)C1=CC=CO1,OC(=O)C(O)=O
95,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,CN(C)c1ccc(cc1)c1ccc(cc1)N(C)C
96,Fc1c(F)c(F)c(F)c(F)c1F,Cc1c(C)c(C)c(C)c(C)c1C
97,N#Cc1cc(C#N)c(cc1C#N)C#N,Nc1ccc(N)cc1
98,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
99,CC1=CC(=O)N(N1)c1ccccc1,CC1=NN(C(=C1)O)c1ccccc1
100,c1cc2ccc3cccc4ccc(c1)c2c34,N#Cc1cc(C#N)c(cc1C#N)C#N
101,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
102,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1cc2ccc3cccc4ccc(c1)c2c34
103,NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O,OC(=O)c1ccccc1O
104,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,O1c2ccccc2Oc2ccccc12
105,CN1c2ccccc2N(C)c2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
106,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1ccc2N=C3C=CC=CC3=Nc2c1
107,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,NC(=O)c1ccccc1O
108,CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
109,CN1N(C(=O)C=C1C)c1ccccc1,OC(=O)c1ccccc1O
110,CCC1(CC)C(=O)NC(=O)NC1=O,Nc1ccccn1
111,CCC1(CC)C(=O)NC(=O)NC1=O,CC(N)=O
112,CCC1(CC)C(=O)NC(=O)NC1=O,NC(N)=O
113,CCC1(CC)C(=O)NC(=O)NC1=O,CN(C)P(=O)(N(C)C)N(C)C
114,CCC1(CC)C(=O)NC(=O)NC1=O,N1C=CN=C1
115,CCC1(CC)C(=O)NC(=O)NC1=O,CN1C=CC=CC1=O
116,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,Nc1ccc(cc1)c1ccc(N)cc1
117,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,Nc1ccc(cc1)c1ccc(N)cc1
118,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,CCC1(CC)C(=O)NC(=O)NC1=O
119,Oc1ccc(Cl)c(O)c1,O=C1CCCCCN1
120,c1ccc2c(c1)ccc1c3ccccc3ccc21,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
121,CN1c2cc(C)c(C)cc2N=C2C(=O)NC(=O)N=C12,Oc1cc2ccccc2cc1O
122,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C(O)=O)C(O)=O
123,CCCN1c2ccccc2N=C2C(=O)NC(=O)N=C12,Oc1cc2ccccc2cc1O
124,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,N1c2ccccc2Sc2ccccc12
125,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc(cc1)/C=C/c1ccccc1
126,O=C1c2cc(ccc2c2c1cc(cc2N(=O)=O)N(=O)=O)N(=O)=O,Cc1c(C)c(C)c(C)c(C)c1C
127,O=C1SC(=O)c2cc3C(=O)SC(=O)c3cc12,c1ccc2cc3ccccc3cc2c1
128,c1ccc2c(c1)ccc1c3ccccc3ccc21,FC1=C(F)C(=O)C(=C(F)C1=O)F
129,C1COCCOCCOCCOCCOCCO1,COC(=O)C#CC(=O)OC
130,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,c1ccc2ccccc2c1
131,Brc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,c1ccc2c(c1)c1cccc3cccc2c13
132,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,c1ccc2ccccc2c1
133,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,Oc1cccc(O)c1
134,Brc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,c1cc2ccc3cccc4ccc(c1)c2c34
135,c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C=CC(=O)C=C1
136,c1cc2ccc3cccc4ccc(c1)c2c34,N#CC(C#N)=C(C#N)C#N
137,Oc1ccc(O)cc1,NC(N)=O
138,Oc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,c1ccc2cc3ccccc3cc2c1
139,Cc1ccc(cc1)S(=O)(=O)NC(CCC(O)=O)C(O)=O,NC1=NC(=O)NC=C1Br
140,c1ccc2cc3c(ccc4ccccc34)cc2c1,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12
141,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,N1c2ccccc2c2ccccc12
142,CCN1C=Nc2c(N)ncnc12,N1C=Cc2ccccc12
143,CCN1C=Nc2c(N)ncnc12,O=C1NC(=O)C(=O)N1
144,CC1=C(C)SC(S1)=C1SC(=C(C)S1)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
145,O=[As](c1ccccc1)(c1ccccc1)c1ccccc1,Oc1c(F)c(F)c(F)c(F)c1F
146,CC(C)(O)[C@H]1[C@@H]2OC(=O)[C@H]1[C@@]1(O)C[C@@H]3O[C@]43C(=O)O[C@@H]2[C@@]14C,CC(=C)[C@H]1[C@@H]2OC(=O)[C@H]1[C@@]1(O)C[C@@H]3O[C@]43C(=O)O[C@@H]2[C@@]14C
147,c1ccc(cc1)c1ccc(cc1)c1ccccc1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
148,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1ccc2ccccc2c1
149,CC(=C)C(C)=C,NC(N)=S
150,OC(=O)/C=C=C\C(O)=O,CC(N)=O
151,c1ccc2c(c1)ccc1ccc3ccccc3c21,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N
152,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Nc1cccc2c(N)cccc12
153,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,S1c2ccccc2c2ccccc12
154,CCC1=C(CC)SC(S1)=C1SC(=C(CC)S1)CC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
155,N1SSSSSSS1,CN(C)P(=O)(N(C)C)N(C)C
156,C1N2CN3CN1CN(C2)C3,Oc1ccc(O)cc1
157,C1COCCOCCOCCOCCOCCO1,N#CCC#N
158,OC(=O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,OCCNCCO
159,O=C1C=CC(=O)c2ccccc12,Oc1ccc(O)cc1
160,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2c(c1)ccc1ccccc21
161,CN1C(=O)c2cc3C(=O)N(C)C(=O)c3cc2C1=O,c1ccc2cc3ccccc3cc2c1
162,CC(=O)NS(=O)(=O)c1ccc(N)cc1,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
163,CN1N(C(=O)C=C1C)c1ccccc1,Nc1ccc(cc1)S(N)(=O)=O
164,CC1=C(C)[Se]C([Se]1)=C1[Se]C(=C(C)[Se]1)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
165,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1cnc2c(c1)ccc1cccnc21
166,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,CN1C(=O)N(C)C2=C(NC=N2)C1=O
167,OC(=O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,OCCNCCO
168,Nc1ncnc2N(C=Nc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,BrC1=CNC(=O)NC1=O
169,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,CC(=O)N1C=C(C)c2ccccc12
170,O=C(N(N=C1C(=O)c2ccccc2C1=O)c1ccccc1)c1ccccc1,O=C1c2ccccc2C(=O)C1=NNc1ccccc1
171,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,C1=CC2=CC=C3C=CC(=C1)N23
172,CCN1c2ccccc2c2ccccc12,N#CC(C#N)=C(C#N)C#N
173,C1CCN(CC1)C1=CC2=NC3(CCCCC3)N=C2C=C1N1CCCCC1,C1CCC2(CC1)Nc1ccccc1N2
174,C1CC2=C(C1)SC(S2)=C1SC2=C(CCC2)S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
175,C1N2CN3CN1CN(C2)C3,Cc1cccc(O)c1
176,C1COCCOCCOCCOCCOCCO1,NS(=O)(=O)c1ccccc1
177,OC(=O)CC1=CNc2ccccc12,NC(=O)c1cccnc1
178,CC1(C)OP(O)(=S)OC1(C)C,N1C=CN=C1
179,Cc1c(C)c(C)c(C)c(C)c1C,N#CC(C#N)=C(C#N)C#N
180,CSc1nc(NC(=O)c2ccccc2)c2NC=Nc2n1,Oc1ccc(cc1)N(=O)=O
181,C1CC2=C(C1)SC(S2)=C1SC=CS1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
182,Oc1ccc(O)c2ccccc12,O=C1C=CC(=O)c2ccccc12
183,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,c1ccc2c(c1)ccc1ccccc21
184,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc(cc1)/C=C/c1ccccc1
185,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
186,CN1C(=O)N(C)C2=C(N=CN2)C1=O,Oc1ccc(cc1)N(=O)=O
187,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,c1ccc2c(c1)nnc1ccccc21
188,CCC1(CC)C(=O)NC(=O)NC1=O,CN1C=CN=C1
189,Fc1c(F)c(F)c(c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,c1ccc(cc1)c1ccccc1
190,N#CCCN1CCOCCOCCN(CCOCCOCC1)CCC#N,N#CCC#N
191,Fc1c(F)c(F)c(F)c(F)c1F,CN(C)c1ccc(cc1)N(C)C
192,CN1c2ccccc2P(=O)(c2ccccc2)c2ccccc12,Oc1ccccc1
193,CN(C)/N=N/C1=C(N=CN1)C(N)=O,CN(C)/N=N/C1=C(NC=N1)C(N)=O
194,OC(=O)C(O)=O,CNC(N)=O
195,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2ccccc2c1
196,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,CS(O)(=O)=O
197,ClC1=C(Br)C(=O)C(=C(Br)C1=O)Cl,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
198,S=C1SC(=C[Se]1)c1ccccc1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
199,C1N2CN3CN1CN(C2)C3,Oc1cccc(O)c1
200,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,S1C=CSC1=C1SC=CS1
201,S1C=CSC1=C1SC=CS1,FC1=C(F)C(=O)C(=C(F)C1=O)F
202,O[Te](O)(O)(O)(O)O,NC(N)=O
203,OC(=O)C(O)=O,NC(N)=O
204,ClC1=CC(C=C(Cl)C1=O)=C1C=C(Cl)C(=O)C(=C1)Cl,c1ccc2cc3ccccc3cc2c1
205,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1ccc2c(c1)ccc1cccnc21
206,CN(C)C1=C(C)N(C)N(c2ccc(Br)cc2)C1=O,O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1
207,Oc1cc(Cl)cc(Cl)c1,Cc1cccc(C)c1O
208,C1CCC2=[S]C([S]=C2C1)=C1[S]=C2CCCCC2=[S]1,COC1=CC(C(=CC1=C(C#N)C#N)OC)=C(C#N)C#N
209,C1CCC(NC1)[C@@]12CC(CC3CCCNC13)C1CCCCN1C2,C1CCC(NC1)[C@@]12CC(C=C3CCCNC13)C1CCCCN1C2
210,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,N1c2ccccc2Sc2ccccc12
211,c1cc2ccc3cccc4ccc(c1)c2c34,FC1=C(F)C(=O)C(=C(F)C1=O)F
212,Cc1ccc(cc1)S(=O)(=O)N=C1C=C(Cl)C(=O)C(=C1)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
213,CN1c2ccccc2N(C)c2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
214,C(COCCOc1cccc2cccnc12)OCCOCCOc1cccc2cccnc12,NC(N)=S
215,CC1=CNc2ccccc12,N#CC(C#N)=C(C#N)C#N
216,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CC1=CC(=NO1)NS(=O)(=O)c1ccc(N)cc1
217,c1cc2c(ccc3sc4ccc5sccc5c4c23)s1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
218,OC(=O)CC(O)=O,NC(N)=O
219,O=C1NC(=O)C(=O)N1,NC(N)=O
220,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,S1c2ccccc2c2ccccc12
221,OP(O)(O)=O,NCCO
222,BrC1=CC(C=C(Br)C1=O)=C1C=C(Br)C(=O)C(=C1)Br,c1cc2ccc3cccc4ccc(c1)c2c34
223,ClC1=CC(C=C(Cl)C1=O)=C1C=C(Cl)C(=O)C(=C1)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
224,C[As](=S)(c1ccccc1)c1ccccc1,CN(C)P(=O)(N(C)C)N(C)C
225,O=P(C1C2CC(C=C2)C1P(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,OC(=O)C(OC(=O)c1ccccc1)C(OC(=O)c1ccccc1)C(O)=O
226,BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,CC1=[S]C([S]=C1C)=C1[S]=C(C)C(=[S]1)C
227,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,OC(=O)C(O)=O
228,S1C(Sc2ccccc12)=C1Sc2ccccc2S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
229,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2nc3ccccc3nc2c1
230,CCOC1=C(OCC)C(=O)C(C1=O)=C(C#N)C#N,c1cc2ccc3cccc4ccc(c1)c2c34
231,C1CCC2=C(C1)SC(S2)=C1SC2=C(CCCC2)S1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
232,CN1C=Nc2c(N)ncnc12,O=C1CNC(=S)N1
233,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CCC1(CC)C(=O)NC(=O)NC1=O
234,C1=[S]C([S]=C1)=C1[S]=CC=[S]1,COC(=O)C(C#N)C(C#N)C(=O)OC
235,S1C=CSC1=C1SC=CS1,O=N(=O)c1ccc(cc1)N(=O)=O
236,S1C(Sc2ccccc12)=C1Sc2ccccc2S1,FC1=CC(C(=CC1=C(C#N)C#N)F)=C(C#N)C#N
237,C1COCCOCCNCCOCCOCCN1,NC(N)=S
238,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2nc3ccccc3cc2c1
239,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O,NC(N)=S
240,Oc1cccc(O)c1,NC(N)=O
241,COc1cc2[Se]c3cc(OC)c(OC)cc3[Se]c2cc1OC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
242,O[I](O)(O)(O)(O)=O,NC(N)=O
243,C1CC2=[Se]C([Se]=C2C1)=C1[Se]=C2CCCC2=[Se]1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
244,OC(=O)c1ccccc1O,O=C1CNC(=O)CN1
245,COc1cc2Sc3cc(OC)c(OC)cc3Sc2cc1OC,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
246,OC(=O)/C=C/c1ccc(cc1N(=O)=O)N(=O)=O,COc1ccc(/C=C/C(O)=O)cc1OC
247,CN(C)c1ccc(NC(=O)NC(=O)CCc2ccccc2)cc1,CC(C)CCNC(=O)NC(=O)c1ccc(cc1)N(=O)=O
248,N#Cc1cc(C#N)c(cc1C#N)C#N,c1ccc(cc1)c1ccccc1
249,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1cc(ccn1)/C=C/c1ccncc1
250,O[C@](C#C)(c1ccccc1)c1ccccc1Br,C1CCN2CC3CC(CN4CCCCC34)C2C1
251,N1c2ccccc2Sc2ccccc12,c1ccc2nc3ccccc3nc2c1
252,[Te]1c2ccccc2C(C2c3ccccc3[Te]c3ccccc23)c2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
253,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl
254,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,S1C=CC2=C1C1=C(S2)C=CS1
255,Cc1ccc(cc1)C(=O)OC(C(OC(=O)c1ccc(C)cc1)C(O)=O)C(O)=O,CCN1CCOC2C1CC1=CNc3cccc2c13
256,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
257,COc1ccc(OC)c(/C=C/c2cc(OC)ccc2OC)c1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
258,CN(C)c1ccc(NC(=O)NC(=O)Cc2ccccc2)cc1,CC(C)CNC(=O)NC(=O)c1ccc(cc1)N(=O)=O
259,NC1=NC2=C(N=CN2CCC(O)=O)C(=O)N1,CN1C=CC(=NC1=O)N
260,CC1=CC=C(O1)[C@@]1(O)C(=O)O[C@@H]2[C@@H](O)CO[C@]12O,O=C1CCC(=O)O1
261,O=C1c2ccccc2C(=O)c2c3[Se][Se][Se]c4c5C=CC=Cc5c([Se][Se][Se]c(c5C=CC=Cc35)c12)c1C(=O)c2ccccc2C(=O)c41,N#Cc1ccccc1
262,I[Te]1(I)Cc2nc3ccccc3nc2C1,ICc1nc2ccccc2nc1CI
263,C1COCCOCCOCCOCCOCCO1,CNC(N)=S
264,C1COCCOCCOCCOCCOCCO1,NC(=S)C(N)=S
265,C1COCCOCCNCCOCCOCCN1,NC(N)=NC1=Nc2ccccc2N1
266,CN1C(=O)C2=C(SC3=C(S2)C(=O)N(C)C3=O)C1=O,c1ccc2nc3ccccc3cc2c1
267,C1COCCOCCOCCOCCOCCO1,O=CNNC=O
268,COc1ccccc1OCCOCCOc1ccccc1OC,NC(N)=O
269,Cc1ccc2ccc3ccc(C)nc3c2n1,Oc1cccc(O)c1
270,c1cc2ccc3cccc4ccc(c1)c2c34,O=C1C=CC(=O)C2=C1C(=O)C=CC2=O
